"","REF_DATE","type","VALUE"
"1",1901,"Hogs",6.69
"2",1902,"Hogs",6.55
"3",1903,"Hogs",5.83
"4",1904,"Hogs",5.09
"5",1905,"Hogs",6.22
"6",1906,"Hogs",6.81
"7",1907,"Hogs",6.44
"8",1908,"Hogs",5.95
"9",1909,"Hogs",7.3
"10",1910,"Hogs",8.4
"11",1911,"Hogs",6.63
"12",1911,"Hogs",7.44
"13",1912,"Hogs",7.79
"14",1912,"Hogs",8.45
"15",1913,"Hogs",8.98
"16",1913,"Lambs, good",8.04
"17",1913,"Hogs",8.58
"18",1913,"Lambs, good",6.63
"19",1914,"Hogs",8.69
"20",1914,"Lambs, good",8.15
"21",1914,"Hogs",7.76
"22",1914,"Lambs, good",7.1
"23",1915,"Hogs",8.5
"24",1915,"Lambs, good",8.7
"25",1915,"Hogs",8.27
"26",1915,"Lambs, good",7.48
"27",1916,"Hogs",10.52
"28",1916,"Lambs, good",11.85
"29",1916,"Hogs",10.35
"30",1916,"Lambs, good",9.24
"31",1917,"Hogs",16.56
"32",1917,"Lambs, good",15.43
"33",1917,"Hogs",15.51
"34",1917,"Lambs, good",12.88
"35",1918,"Hogs",19.27
"36",1918,"Lambs, good",18.15
"37",1918,"Hogs",18.65
"38",1918,"Lambs, good",16.23
"39",1919,"Hogs",19.84
"40",1919,"Lambs, good",16.26
"41",1919,"Hogs",18.66
"42",1919,"Lambs, good",13.9
"43",1920,"Hogs",18.98
"44",1920,"Lambs, good",13.86
"45",1920,"Hogs",18.76
"46",1920,"Lambs, good",11.11
"47",1921,"Hogs",11.72
"48",1921,"Lambs, good",9.59
"49",1921,"Hogs",12.11
"50",1921,"Lambs, good",8.88
"51",1922,"Hogs",12.63
"52",1922,"Lambs, good",11.93
"53",1922,"Hogs",11.18
"54",1922,"Lambs, good",10.15
"55",1923,"Hogs",10.53
"56",1923,"Lambs, good",12.28
"57",1923,"Hogs",9.57
"58",1923,"Lambs, good",10.49
"59",1924,"Hogs",9.93
"60",1924,"Lambs, good",12.7
"61",1924,"Hogs",8.35
"62",1924,"Lambs, good",11.55
"63",1925,"Hogs",14.12
"64",1925,"Lambs, good",13.55
"65",1925,"Hogs",12.55
"66",1925,"Lambs, good",11.41
"67",1926,"Hogs",14.71
"68",1926,"Lambs, good",13.05
"69",1926,"Hogs",13.23
"70",1926,"Lambs, good",10.85
